listing_id,sku_id,product_title,category,brand,vertical,impression-date,revenue,product_views,product_clicks,sales,click_through_rate,conversion_rate,average_selling_price
LSTZLAHM9WJMQFFADHJSKCPGK,WEEGRO-CT-TEAK-PL,"WEEGRO WEEGRO Work Station Tray Furniture Accessories, Wood",GeneralUtilityFurnitureSF,WEEGRO,FurnitureAccessory,2026-05-31,0.0,6,0,0,0.0,0.0,0.0
LSTCFTGHEMDSHRHNZDX1P29H6,RMDF1,"WEEGRO Engineered Wood Coffee Table Finish Color - DARK BROWN, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-05-31,0.0,12,24,0,200.0,0.0,0.0
LSTCFTHGMJZGMGDGXZCXYDAPW,WEEGRO-CT-PLASTIC,"WEEGRO Plastic Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-05-31,1932.0,51,141,2,276.47,1.42,966.0
LSTCFTGDDBYMAZQCQ8X2BLN1L,WEEGRO-CT-M1,"WEEGRO Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-05-31,16540.0,425,186,9,43.76,4.84,1837.78
LSTDNTHGMHSZX8GYZHKBSH5DL,WEEGRO-DINING,"WEEGRO Plastic 4 Seater Dining Table Finish Color - Cadbury, DIYDo-It-Yourself",Dining&KitchenLF,WEEGRO,DiningTable,2026-05-31,0.0,343,13,0,3.79,0.0,0.0
LSTSHKHGTFZTSYKGSHAZ73T74,WEEGROSR-PLASTIC,"WEEGRO Plastic Shoe Stand Red, 3 Shelves, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallShoeRack,2026-05-31,0.0,2,13,0,650.0,0.0,0.0
LSTCFTHGUM8G8XBUV5WPIUPJW,WEEGRO-CT-TEAKR,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-05-31,0.0,201,7,0,3.48,0.0,0.0
LSTCFTHJ27TG4VKPZWMRN9PE4,WEEGRO-CT-TFLOWER,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-01,0.0,338,7,0,2.07,0.0,0.0
LSTCFTHGUNBFGTTGCRAGKEUM9,WEEGRO-CT-TEAKRD,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-01,0.0,410,12,0,2.93,0.0,0.0
LSTCFTGYFNVWDUHNJFW8QAPLD,WEEGRO-CT-PL,"WEEGRO Wooden Tea table|Teapoy|Tea Table|DIY Wooden Table Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-01,0.0,1187,67,0,5.64,0.0,0.0
LSTZLAHMBZRFC4W3QY3QWJ41J,Weegro-IT,"WEEGRO WEEGRO-IT Table Turning Mechanism Furniture Accessories, Steel",GeneralUtilityFurnitureSF,WEEGRO,FurnitureAccessory,2026-06-01,0.0,2,0,0,0.0,0.0,0.0
LSTZLAHM9WJMQFFADHJSKCPGK,WEEGRO-CT-TEAK-PL,"WEEGRO WEEGRO Work Station Tray Furniture Accessories, Wood",GeneralUtilityFurnitureSF,WEEGRO,FurnitureAccessory,2026-06-01,0.0,6,0,0,0.0,0.0,0.0
LSTCFTHGUM8G8XBUV5WPIUPJW,WEEGRO-CT-TEAKR,"WEEGRO Engineered Wood Coffee Table Finish Color - TEAK WOOD, DIYDo-It-Yourself",LivingRoomLF,WEEGRO,CoffeeAndCentreTable,2026-06-01,0.0,229,13,0,5.68,0.0,0.0
LSTCFTGHEMDSHRHNZDX1P29H6,RMDF1,"WEEGRO Engineered Wood Coffee Table Finish Color - DARK BROWN, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-01,0.0,2,26,0,1300.0,0.0,0.0
LSTCFTGDDBYMAZQCQ8X2BLN1L,WEEGRO-CT-M1,"WEEGRO Engineered Wood Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-01,0.0,71,58,0,81.69,0.0,0.0
LSTCFTHGMJZGMGDGXZCXYDAPW,WEEGRO-CT-PLASTIC,"WEEGRO Plastic Coffee Table Finish Color - Brown, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-01,0.0,18,141,0,783.33,0.0,0.0
LSTSHKHGTFZTSYKGSHAZ73T74,WEEGROSR-PLASTIC,"WEEGRO Plastic Shoe Stand Red, 3 Shelves, DIYDo-It-Yourself",LivingRoomSF,WEEGRO,SmallShoeRack,2026-06-01,447.0,20,19,1,95.0,5.26,447.0
LSTDNTHGMHSZX8GYZHKBSH5DL,WEEGRO-DINING,"WEEGRO Plastic 4 Seater Dining Table Finish Color - Cadbury, DIYDo-It-Yourself",Dining&KitchenLF,WEEGRO,DiningTable,2026-06-01,0.0,226,14,0,6.19,0.0,0.0
LSTDNTHGMHSZX8GYZHKBSH5DL,WEEGRO-DINING,"WEEGRO Plastic 4 Seater Dining Table Finish Color - Cadbury, DIYDo-It-Yourself",Dining&KitchenLF,WEEGRO,DiningTable,2026-06-02,0.0,324,7,0,2.16,0.0,0.0
