Product Id,SKU ID,Category,Brand,Vertical,Order Date,Fulfillment Type,Location Id,Gross Units,GMV,Cancellation Units,Cancellation Amount,Return Units,Return Amount,Final Sale Units,Final Sale Amount
CFTGDDBYMAZQCQ8X,WEEGRO-CT-M1,LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-05-31,NON_FBF,LOC419174c836c04122a33548631d5d7801,9,16540.0,0,0.0,0,0,9,16540.0
CFTHGMJZGMGDGXZC,WEEGRO-CT-PLASTIC,LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-03,NON_FBF,LOC419174c836c04122a33548631d5d7801,3,2898.0,0,0.0,0,0,3,2898.0
CFTHGMJZGMGDGXZC,WEEGRO-CT-PLASTIC,LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-05-31,NON_FBF,LOC419174c836c04122a33548631d5d7801,2,1932.0,0,0.0,0,0,2,1932.0
CFTGDDBYMAZQCQ8X,WEEGRO-CT-M1,LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-03,NON_FBF,LOC419174c836c04122a33548631d5d7801,1,1839.0,0,0.0,0,0,1,1839.0
SHKHGTFZTSYKGSHA,WEEGROSR-PLASTIC,LivingRoomSF,WEEGRO,SmallShoeRack,2026-06-01,NON_FBF,LOC419174c836c04122a33548631d5d7801,1,447.0,0,0.0,0,0,1,447.0
CFTGDDBYMAZQCQ8X,WEEGRO-CT-M1,LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-04,NON_FBF,LOC419174c836c04122a33548631d5d7801,10,18381.0,1,1839.0,0,0,9,16542.0
CFTGDDBYMAZQCQ8X,WEEGRO-CT-M1,LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-05,NON_FBF,LOC419174c836c04122a33548631d5d7801,11,20221.0,0,0.0,0,0,11,20221.0
CFTGDDBYMAZQCQ8X,WEEGRO-CT-M1,LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-05-30,NON_FBF,LOC419174c836c04122a33548631d5d7801,18,33068.0,1,1835.0,0,0,17,31233.0
CFTHGMJZGMGDGXZC,WEEGRO-CT-PLASTIC,LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-04,NON_FBF,LOC419174c836c04122a33548631d5d7801,2,1921.0,0,0.0,0,0,2,1921.0
CFTHGMJZGMGDGXZC,WEEGRO-CT-PLASTIC,LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-05-30,NON_FBF,LOC419174c836c04122a33548631d5d7801,3,2880.0,0,0.0,0,0,3,2880.0
CFTHGMJZGMGDGXZC,WEEGRO-CT-PLASTIC,LivingRoomSF,WEEGRO,SmallCoffeeTables,2026-06-05,NON_FBF,LOC419174c836c04122a33548631d5d7801,2,1849.0,0,0.0,0,0,2,1849.0
